Day	Date	Safe to cross	Unsafe to cross	Safe to cross	Unsafe to cross
Fri	1st	11:05 until 19:15	19:15 until 23:00	23:00 until 07:45 (Sat)	07:45 (Sat) until 11:30 (Sat)
Sat	2nd	11:30 until 20:15	20:15 until 23:40	23:40 until 08:50 (Sun)	08:50 (Sun) until 12:15 (Sun)
Sun	3rd	12:15 until 21:15	21:15 until 00:35 (Mon)	00:35 (Mon) until 10:00 (Mon)	10:00 (Mon) until 13:15 (Mon)
Mon	4th	00:35 until 10:00	10:00 until 13:15	13:15 until 22:20	22:20 until 01:45 (Tue)
Tue	5th	01:45 until 11:15	11:15 until 14:40	14:40 until 23:25	23:25 until 03:10 (Wed)
Wed	6th	03:10 until 12:10	12:10 until 16:05	16:05 until 00:15 (Thu)	00:15 (Thu) until 04:35 (Thu)
Thu	7th	04:35 until 12:45	12:45 until 17:20	17:20 until 00:55 (Fri)	00:55 (Fri) until 05:50 (Fri)
Fri	8th	05:50 until 13:20	13:20 until 18:25	18:25 until 01:25 (Sat)	01:25 (Sat) until 06:50 (Sat)
Sat	9th	06:50 until 13:45	13:45 until 19:25	19:25 until 01:55 (Sun)	01:55 (Sun) until 07:45 (Sun)
Sun	10th	07:45 until 14:20	14:20 until 20:15	20:15 until 02:20 (Mon)	02:20 (Mon) until 08:35 (Mon)
Mon	11th	08:35 until 14:50	14:50 until 21:00	21:00 until 02:55 (Tue)	02:55 (Tue) until 09:20 (Tue)
Tue	12th	09:20 until 15:30	15:30 until 21:35	21:35 until 03:35 (Wed)	03:35 (Wed) until 10:00 (Wed)
Wed	13th	10:00 until 16:15	16:15 until 22:10	22:10 until 04:20 (Thu)	04:20 (Thu) until 10:30 (Thu)
Thu	14th	10:30 until 17:05	17:05 until 22:35	22:35 until 05:10 (Fri)	05:10 (Fri) until 11:00 (Fri)
Fri	15th	11:00 until 18:00	18:00 until 23:00	23:00 until 06:15 (Sat)	06:15 (Sat) until 11:25 (Sat)
Sat	16th	11:25 until 19:05	19:05 until 23:30	23:30 until 07:25 (Sun)	07:25 (Sun) until 12:00 (Sun)
Sun	17th	12:00 until 20:25	20:25 until 00:20 (Mon)	00:20 (Mon) until 08:55 (Mon)	08:55 (Mon) until 13:05 (Mon)
Mon	18th	00:20 until 08:55	08:55 until 13:05	13:05 until 21:45	21:45 until 01:40 (Tue)
Tue	19th	01:40 until 10:25	10:25 until 14:35	14:35 until 23:00	23:00 until 03:15 (Wed)
Wed	20th	03:15 until 11:35	11:35 until 16:15	16:15 until 23:55	23:55 until 04:50 (Thu)
Thu	21st	04:50 until 12:25	12:25 until 17:35	17:35 until 00:40 (Fri)	00:40 (Fri) until 06:10 (Fri)
Fri	22nd	06:10 until 13:05	13:05 until 18:40	18:40 until 01:15 (Sat)	01:15 (Sat) until 07:10 (Sat)
Sat	23rd	07:10 until 13:40	13:40 until 19:30	19:30 until 01:45 (Sun)	01:45 (Sun) until 08:00 (Sun)
Sun	24th	08:00 until 14:15	14:15 until 20:05	20:05 until 02:25 (Mon)	02:25 (Mon) until 08:40 (Mon)
Mon	25th	08:40 until 14:50	14:50 until 20:35	20:35 until 03:00 (Tue)	03:00 (Tue) until 09:10 (Tue)
Tue	26th	09:10 until 15:30	15:30 until 21:00	21:00 until 03:40 (Wed)	03:40 (Wed) until 09:30 (Wed)
Wed	27th	09:30 until 16:10	16:10 until 21:20	21:20 until 04:25 (Thu)	04:25 (Thu) until 09:50 (Thu)
Thu	28th	09:50 until 16:50	16:50 until 21:40	21:40 until 05:10 (Fri)	05:10 (Fri) until 10:05 (Fri)
Fri	29th	10:05 until 17:35	17:35 until 22:00	22:00 until 06:00 (Sat)	06:00 (Sat) until 10:20 (Sat)
Sat	30th	10:20 until 18:25	18:25 until 22:25	22:25 until 07:00 (Sun)	07:00 (Sun) until 10:40 (Sun)
Sun	31st	10:40 until 19:25	19:25 until 22:55	22:55 until 08:05 (Mon)	08:05 (Mon) until 11:20 (Mon)
