Day	Date	Safe to cross	Unsafe to cross	Safe to cross	Unsafe to cross
Tue	1st	10:45 until 18:25	18:25 until 22:45	22:45 until 06:40 (Wed)	06:40 (Wed) until 11:20 (Wed)
Wed	2nd	11:20 until 19:20	19:20 until 23:15	23:15 until 07:40 (Thu)	07:40 (Thu) until 11:50 (Thu)
Thu	3rd	11:50 until 20:20	20:20 until 23:50	23:50 until 08:40 (Fri)	08:40 (Fri) until 12:30 (Fri)
Fri	4th	12:30 until 21:15	21:15 until 00:40 (Sat)	00:40 (Sat) until 09:40 (Sat)	09:40 (Sat) until 13:20 (Sat)
Sat	5th	00:40 until 09:40	09:40 until 13:20	13:20 until 22:10	22:10 until 01:40 (Sun)
Sun	6th	01:40 until 10:45	10:45 until 14:20	14:20 until 23:05	23:05 until 02:50 (Mon)
Mon	7th	02:50 until 11:40	11:40 until 15:35	15:35 until 23:55	23:55 until 04:00 (Tue)
Tue	8th	04:00 until 12:30	12:30 until 16:40	16:40 until 00:40 (Wed)	00:40 (Wed) until 05:10 (Wed)
Wed	9th	05:10 until 13:05	13:05 until 17:40	17:40 until 01:15 (Thu)	01:15 (Thu) until 06:05 (Thu)
Thu	10th	06:05 until 13:40	13:40 until 18:40	18:40 until 01:45 (Fri)	01:45 (Fri) until 07:00 (Fri)
Fri	11th	07:00 until 14:15	14:15 until 19:25	19:25 until 02:20 (Sat)	02:20 (Sat) until 07:45 (Sat)
Sat	12th	07:45 until 14:50	14:50 until 20:15	20:15 until 02:55 (Sun)	02:55 (Sun) until 08:30 (Sun)
Sun	13th	08:30 until 15:25	15:25 until 20:55	20:55 until 03:30 (Mon)	03:30 (Mon) until 09:10 (Mon)
Mon	14th	09:10 until 16:05	16:05 until 21:35	21:35 until 04:10 (Tue)	04:10 (Tue) until 09:50 (Tue)
Tue	15th	09:50 until 16:50	16:50 until 22:10	22:10 until 04:55 (Wed)	04:55 (Wed) until 10:25 (Wed)
Wed	16th	10:25 until 17:40	17:40 until 22:45	22:45 until 05:40 (Thu)	05:40 (Thu) until 11:05 (Thu)
Thu	17th	11:05 until 18:35	18:35 until 23:20	23:20 until 06:40 (Fri)	06:40 (Fri) until 11:45 (Fri)
Fri	18th	11:45 until 19:35	19:35 until 00:05 (Sat)	00:05 (Sat) until 07:45 (Sat)	07:45 (Sat) until 12:30 (Sat)
Sat	19th	00:05 until 07:45	07:45 until 12:30	12:30 until 20:45	20:45 until 01:00 (Sun)
Sun	20th	01:00 until 09:00	09:00 until 13:30	13:30 until 21:55	21:55 until 02:10 (Mon)
Mon	21st	02:10 until 10:20	10:20 until 14:50	14:50 until 23:00	23:00 until 03:30 (Tue)
Tue	22nd	03:30 until 11:25	11:25 until 16:15	16:15 until 23:55	23:55 until 04:55 (Wed)
Wed	23rd	04:55 until 12:20	12:20 until 17:40	17:40 until 00:45 (Thu)	00:45 (Thu) until 06:10 (Thu)
Thu	24th	06:10 until 13:10	13:10 until 18:50	18:50 until 01:25 (Fri)	01:25 (Fri) until 07:15 (Fri)
Fri	25th	07:15 until 13:50	13:50 until 19:45	19:45 until 02:10 (Sat)	02:10 (Sat) until 08:10 (Sat)
Sat	26th	08:10 until 14:35	14:35 until 20:30	20:30 until 02:50 (Sun)	02:50 (Sun) until 08:55 (Sun)
Sun	27th	08:55 until 15:20	15:20 until 21:05	21:05 until 03:35 (Mon)	03:35 (Mon) until 09:30 (Mon)
Mon	28th	09:30 until 16:05	16:05 until 21:30	21:30 until 04:20 (Tue)	04:20 (Tue) until 10:00 (Tue)
Tue	29th	10:00 until 16:50	16:50 until 21:50	21:50 until 05:05 (Wed)	05:05 (Wed) until 10:20 (Wed)
Wed	30th	10:20 until 17:35	17:35 until 22:10	22:10 until 05:55 (Thu)	05:55 (Thu) until 10:40 (Thu)
Thu	31st	10:40 until 18:25	18:25 until 22:35	22:35 until 06:45 (Fri)	06:45 (Fri) until 11:05 (Fri)
