Day	Date	Safe to cross	Unsafe to cross	Safe to cross	Unsafe to cross
Mon	1st	11:20 until 20:30	20:30 until 23:45	23:45 until 09:20 (Tue)	09:20 (Tue) until 12:25 (Tue)
Tue	2nd	12:25 until 21:40	21:40 until 00:55 (Wed)	00:55 (Wed) until 10:40 (Wed)	10:40 (Wed) until 13:55 (Wed)
Wed	3rd	00:55 until 10:40	10:40 until 13:55	13:55 until 22:50	22:50 until 02:30 (Thu)
Thu	4th	02:30 until 11:40	11:40 until 15:40	15:40 until 23:50	23:50 until 04:05 (Fri)
Fri	5th	04:05 until 12:20	12:20 until 17:00	17:00 until 00:25 (Sat)	00:25 (Sat) until 05:25 (Sat)
Sat	6th	05:25 until 12:45	12:45 until 18:15	18:15 until 00:50 (Sun)	00:50 (Sun) until 06:35 (Sun)
Sun	7th	06:35 until 13:15	13:15 until 19:15	19:15 until 01:15 (Mon)	01:15 (Mon) until 07:35 (Mon)
Mon	8th	07:35 until 13:45	13:45 until 20:10	20:10 until 01:45 (Tue)	01:45 (Tue) until 08:30 (Tue)
Tue	9th	08:30 until 14:15	14:15 until 20:50	20:50 until 02:20 (Wed)	02:20 (Wed) until 09:15 (Wed)
Wed	10th	09:15 until 14:55	14:55 until 21:30	21:30 until 03:00 (Thu)	03:00 (Thu) until 09:55 (Thu)
Thu	11th	09:55 until 15:45	15:45 until 21:55	21:55 until 03:50 (Fri)	03:50 (Fri) until 10:25 (Fri)
Fri	12th	10:25 until 16:35	16:35 until 22:15	22:15 until 04:50 (Sat)	04:50 (Sat) until 10:45 (Sat)
Sat	13th	10:45 until 17:35	17:35 until 22:35	22:35 until 06:00 (Sun)	06:00 (Sun) until 11:05 (Sun)
Sun	14th	11:05 until 18:45	18:45 until 23:05	23:05 until 07:25 (Mon)	07:25 (Mon) until 11:40 (Mon)
Mon	15th	11:40 until 20:10	20:10 until 00:00 (Tue)	00:00 (Tue) until 09:00 (Tue)	09:00 (Tue) until 12:55 (Tue)
Tue	16th	00:00 until 09:00	09:00 until 12:55	12:55 until 21:35	21:35 until 01:25 (Wed)
Wed	17th	01:25 until 10:30	10:30 until 14:35	14:35 until 22:50	22:50 until 03:10 (Thu)
Thu	18th	03:10 until 11:35	11:35 until 16:15	16:15 until 23:45	23:45 until 04:45 (Fri)
Fri	19th	04:45 until 12:15	12:15 until 17:30	17:30 until 00:20 (Sat)	00:20 (Sat) until 05:55 (Sat)
Sat	20th	05:55 until 12:50	12:50 until 18:25	18:25 until 00:55 (Sun)	00:55 (Sun) until 06:55 (Sun)
Sun	21st	06:55 until 13:20	13:20 until 19:05	19:05 until 01:25 (Mon)	01:25 (Mon) until 07:35 (Mon)
Mon	22nd	07:35 until 13:50	13:50 until 19:40	19:40 until 02:00 (Tue)	02:00 (Tue) until 08:10 (Tue)
Tue	23rd	08:10 until 14:20	14:20 until 20:05	20:05 until 02:35 (Wed)	02:35 (Wed) until 08:35 (Wed)
Wed	24th	08:35 until 14:55	14:55 until 20:30	20:30 until 03:10 (Thu)	03:10 (Thu) until 08:55 (Thu)
Thu	25th	08:55 until 15:30	15:30 until 20:50	20:50 until 03:50 (Fri)	03:50 (Fri) until 09:10 (Fri)
Fri	26th	09:10 until 16:10	16:10 until 21:15	21:15 until 04:35 (Sat)	04:35 (Sat) until 09:30 (Sat)
Sat	27th	09:30 until 16:55	16:55 until 21:30	21:30 until 05:25 (Sun)	05:25 (Sun) until 09:45 (Sun)
Sun	28th	09:45 until 17:45	17:45 until 21:55	21:55 until 06:20 (Mon)	06:20 (Mon) until 10:10 (Mon)
Mon	29th	10:10 until 18:40	18:40 until 22:20	22:20 until 07:25 (Tue)	07:25 (Tue) until 10:45 (Tue)
Tue	30th	10:45 until 19:45	19:45 until 23:05	23:05 until 08:40 (Wed)	08:40 (Wed) until 11:45 (Wed)
