Day	Date	Safe to cross	Unsafe to cross	Safe to cross	Unsafe to cross
Sun	1st	10:20 until 18:05	18:05 until 22:40	22:40 until 06:25 (Mon)	06:25 (Mon) until 11:00 (Mon)
Mon	2nd	11:00 until 19:10	19:10 until 23:15	23:15 until 07:30 (Tue)	07:30 (Tue) until 11:45 (Tue)
Tue	3rd	11:45 until 20:20	20:20 until 00:00 (Wed)	00:00 (Wed) until 08:35 (Wed)	08:35 (Wed) until 12:35 (Wed)
Wed	4th	00:00 until 08:35	08:35 until 12:35	12:35 until 21:20	21:20 until 00:55 (Thu)
Thu	5th	00:55 until 09:35	09:35 until 13:30	13:30 until 22:20	22:20 until 02:00 (Fri)
Fri	6th	02:00 until 10:35	10:35 until 14:35	14:35 until 23:10	23:10 until 03:05 (Sat)
Sat	7th	03:05 until 11:25	11:25 until 15:35	15:35 until 23:50	23:50 until 04:00 (Sun)
Sun	8th	04:00 until 12:10	12:10 until 16:30	16:30 until 00:25 (Mon)	00:25 (Mon) until 04:55 (Mon)
Mon	9th	04:55 until 12:45	12:45 until 17:25	17:25 until 01:00 (Tue)	01:00 (Tue) until 05:45 (Tue)
Tue	10th	05:45 until 13:25	13:25 until 18:10	18:10 until 01:30 (Wed)	01:30 (Wed) until 06:30 (Wed)
Wed	11th	06:30 until 14:00	14:00 until 18:55	18:55 until 02:05 (Thu)	02:05 (Thu) until 07:15 (Thu)
Thu	12th	07:15 until 14:35	14:35 until 19:35	19:35 until 02:40 (Fri)	02:40 (Fri) until 07:50 (Fri)
Fri	13th	07:50 until 15:10	15:10 until 20:15	20:15 until 03:15 (Sat)	03:15 (Sat) until 08:25 (Sat)
Sat	14th	08:25 until 15:50	15:50 until 20:50	20:50 until 04:00 (Sun)	04:00 (Sun) until 09:00 (Sun)
Sun	15th	09:00 until 16:35	16:35 until 21:25	21:25 until 04:40 (Mon)	04:40 (Mon) until 09:35 (Mon)
Mon	16th	09:35 until 17:20	17:20 until 22:05	22:05 until 05:25 (Tue)	05:25 (Tue) until 10:15 (Tue)
Tue	17th	10:15 until 18:15	18:15 until 22:45	22:45 until 06:20 (Wed)	06:20 (Wed) until 11:00 (Wed)
Wed	18th	11:00 until 19:10	19:10 until 23:30	23:30 until 07:15 (Thu)	07:15 (Thu) until 11:55 (Thu)
Thu	19th	11:55 until 20:15	20:15 until 00:30 (Fri)	00:30 (Fri) until 08:20 (Fri)	08:20 (Fri) until 12:55 (Fri)
Fri	20th	00:30 until 08:20	08:20 until 12:55	12:55 until 21:20	21:20 until 01:40 (Sat)
Sat	21st	01:40 until 09:25	09:25 until 14:10	14:10 until 22:15	22:15 until 02:55 (Sun)
Sun	22nd	02:55 until 10:25	10:25 until 15:25	15:25 until 23:10	23:10 until 04:10 (Mon)
Mon	23rd	04:10 until 11:20	11:20 until 16:45	16:45 until 00:00 (Tue)	00:00 (Tue) until 05:20 (Tue)
Tue	24th	05:20 until 12:15	12:15 until 18:00	18:00 until 00:45 (Wed)	00:45 (Wed) until 06:25 (Wed)
Wed	25th	06:25 until 13:05	13:05 until 19:05	19:05 until 01:30 (Thu)	01:30 (Thu) until 07:25 (Thu)
Thu	26th	07:25 until 13:55	13:55 until 20:00	20:00 until 02:20 (Fri)	02:20 (Fri) until 08:15 (Fri)
Fri	27th	08:15 until 14:50	14:50 until 20:45	20:45 until 03:10 (Sat)	03:10 (Sat) until 09:00 (Sat)
Sat	28th	09:00 until 15:40	15:40 until 21:25	21:25 until 04:00 (Sun)	04:00 (Sun) until 09:45 (Sun)
Sun	29th	09:45 until 16:35	16:35 until 21:55	21:55 until 04:55 (Mon)	04:55 (Mon) until 10:15 (Mon)
Mon	30th	10:15 until 17:30	17:30 until 22:20	22:20 until 05:45 (Tue)	05:45 (Tue) until 10:45 (Tue)
