Day	Date	Safe to cross	Unsafe to cross	Safe to cross	Unsafe to cross
Thu	1st	09:25 until 16:00	16:00 until 22:00	22:00 until 04:35 (Fri)	04:35 (Fri) until 09:50 (Fri)
Fri	2nd	09:50 until 17:10	17:10 until 22:20	22:20 until 05:40 (Sat)	05:40 (Sat) until 10:20 (Sat)
Sat	3rd	10:20 until 18:25	18:25 until 22:50	22:50 until 06:55 (Sun)	06:55 (Sun) until 11:00 (Sun)
Sun	4th	11:00 until 19:45	19:45 until 23:35	23:35 until 08:10 (Mon)	08:10 (Mon) until 12:00 (Mon)
Mon	5th	12:00 until 21:05	21:05 until 00:40 (Tue)	00:40 (Tue) until 09:25 (Tue)	09:25 (Tue) until 13:10 (Tue)
Tue	6th	00:40 until 09:25	09:25 until 13:10	13:10 until 22:15	22:15 until 02:00 (Wed)
Wed	7th	02:00 until 10:30	10:30 until 14:30	14:30 until 23:10	23:10 until 03:15 (Thu)
Thu	8th	03:15 until 11:20	11:20 until 15:40	15:40 until 23:55	23:55 until 04:15 (Fri)
Fri	9th	04:15 until 12:00	12:00 until 16:40	16:40 until 00:25 (Sat)	00:25 (Sat) until 05:05 (Sat)
Sat	10th	05:05 until 12:35	12:35 until 17:30	17:30 until 00:55 (Sun)	00:55 (Sun) until 05:50 (Sun)
Sun	11th	05:50 until 13:10	13:10 until 18:15	18:15 until 01:20 (Mon)	01:20 (Mon) until 06:25 (Mon)
Mon	12th	06:25 until 13:40	13:40 until 18:50	18:50 until 01:50 (Tue)	01:50 (Tue) until 07:05 (Tue)
Tue	13th	07:05 until 14:15	14:15 until 19:25	19:25 until 02:25 (Wed)	02:25 (Wed) until 07:35 (Wed)
Wed	14th	07:35 until 14:50	14:50 until 19:55	19:55 until 03:00 (Thu)	03:00 (Thu) until 08:05 (Thu)
Thu	15th	08:05 until 15:30	15:30 until 20:25	20:25 until 03:35 (Fri)	03:35 (Fri) until 08:35 (Fri)
Fri	16th	08:35 until 16:10	16:10 until 20:55	20:55 until 04:20 (Sat)	04:20 (Sat) until 09:00 (Sat)
Sat	17th	09:00 until 16:55	16:55 until 21:20	21:20 until 05:05 (Sun)	05:05 (Sun) until 09:30 (Sun)
Sun	18th	09:30 until 17:45	17:45 until 21:55	21:55 until 05:55 (Mon)	05:55 (Mon) until 10:05 (Mon)
Mon	19th	10:05 until 18:45	18:45 until 22:40	22:40 until 06:55 (Tue)	06:55 (Tue) until 10:50 (Tue)
Tue	20th	10:50 until 19:50	19:50 until 23:35	23:35 until 08:00 (Wed)	08:00 (Wed) until 11:55 (Wed)
Wed	21st	11:55 until 20:55	20:55 until 00:55 (Thu)	00:55 (Thu) until 09:05 (Thu)	09:05 (Thu) until 13:15 (Thu)
Thu	22nd	00:55 until 09:05	09:05 until 13:15	13:15 until 21:55	21:55 until 02:20 (Fri)
Fri	23rd	02:20 until 10:00	10:00 until 14:40	14:40 until 22:50	22:50 until 03:45 (Sat)
Sat	24th	03:45 until 10:50	10:50 until 16:05	16:05 until 23:30	23:30 until 04:55 (Sun)
Sun	25th	04:55 until 11:35	11:35 until 17:25	17:25 until 00:10 (Mon)	00:10 (Mon) until 06:00 (Mon)
Mon	26th	06:00 until 12:20	12:20 until 18:35	18:35 until 00:50 (Tue)	00:50 (Tue) until 07:00 (Tue)
Tue	27th	07:00 until 13:05	13:05 until 19:35	19:35 until 01:40 (Wed)	01:40 (Wed) until 07:50 (Wed)
Wed	28th	07:50 until 14:00	14:00 until 20:25	20:25 until 02:30 (Thu)	02:30 (Thu) until 08:30 (Thu)
Thu	29th	08:30 until 14:55	14:55 until 21:05	21:05 until 03:20 (Fri)	03:20 (Fri) until 09:10 (Fri)
Fri	30th	09:10 until 15:55	15:55 until 21:40	21:40 until 04:20 (Sat)	04:20 (Sat) until 09:45 (Sat)
Sat	31st	09:45 until 17:00	17:00 until 22:10	22:10 until 05:20 (Sun)	05:20 (Sun) until 10:20 (Sun)
